feed_type,sample,request_utc,http_status,latency_ms,content_type,response_bytes,etag,cache_control,server_date,payload_sha256,payload_changed,header_timestamp,header_changed,feed_age_seconds,entity_count,trip_update_count,trip_timestamp_count,newest_trip_age_seconds,oldest_trip_age_seconds,trips_30s_or_newer,trips_60s_or_newer,trips_90s_or_newer,trips_over_300s,stop_time_update_count,unique_route_ids,unique_trip_ids,unique_vehicle_ids,unique_stop_ids,arrival_time_count,departure_time_count,arrival_delay_present,arrival_delay_negative,arrival_delay_zero,arrival_delay_positive,departure_delay_present,departure_delay_negative,departure_delay_zero,departure_delay_positive,trip_schedule_relationships,stop_schedule_relationships,alert_count,active_period_count,alerts_active_now,alerts_future_only,alerts_expired_only,alerts_inactive_other,informed_entity_count,alerts_with_url,unique_agency_ids,alert_causes,alert_effects,alert_severity_levels,error
trip_updates,1,2026-07-24T19:12:54.612148+00:00,200,2562.0,application/x-protobuf,451606,mecatran-valleymetro-gtfsrt-tripupdate-protobuf-binary-1784920353968,,"Fri, 24 Jul 2026 19:12:56 GMT",bccc891e2ac83a9d397a209f7f802bd5b68132ba000f4139b6e9200681773b46,False,1784920353,False,21.6,620,620,620,21.6,21.6,620,620,620,0,10669,78,620,501,7217,10600,10600,10600,2699,701,7200,10600,2629,780,7191,CANCELED=1;SCHEDULED=619,SCHEDULED=10600;SKIPPED=69,,,,,,,,,,,,,
service_alerts,1,2026-07-24T19:12:57.224026+00:00,200,1531.0,application/x-protobuf,13093,,,"Fri, 24 Jul 2026 19:12:58 GMT",ae5e12576596fd5898aeacc92a9f78e77c149ce390e162e7520c749f7b07a12d,False,1784920378,False,-0.8,17,,,,,,,,,,39,0,,85,,,,,,,,,,,,,17,20,14,3,0,0,128,11,0,CONSTRUCTION=9;MAINTENANCE=1;OTHER_CAUSE=4;POLICE_ACTIVITY=2;TECHNICAL_PROBLEM=1,DETOUR=3;NO_EFFECT=1;NO_SERVICE=9;OTHER_EFFECT=4,WARNING=17,
trip_updates,2,2026-07-24T19:13:24.620518+00:00,200,1969.0,application/x-protobuf,443730,mecatran-valleymetro-gtfsrt-tripupdate-protobuf-binary-1784920394101,,"Fri, 24 Jul 2026 19:13:25 GMT",fb6045f541438da8f22da7775194298cfaed2af9f890e456293f0e3ad7b551dd,True,1784920394,True,10.6,614,614,614,10.6,10.6,614,614,614,0,10509,78,614,499,7191,10427,10427,10427,2581,667,7179,10427,2514,744,7169,CANCELED=1;SCHEDULED=613,SCHEDULED=10427;SKIPPED=82,,,,,,,,,,,,,
trip_updates,3,2026-07-24T19:13:54.618038+00:00,200,1719.0,application/x-protobuf,445221,mecatran-valleymetro-gtfsrt-tripupdate-protobuf-binary-1784920433635,,"Fri, 24 Jul 2026 19:13:55 GMT",5a2de44e0a316c8a4fc3d4d5142048574b07456db399603cf47b99fe44d16eef,True,1784920433,True,1.6,615,615,615,1.6,1.6,615,615,615,0,10519,77,615,499,7187,10437,10437,10437,2648,717,7072,10437,2579,795,7063,CANCELED=1;SCHEDULED=614,SCHEDULED=10437;SKIPPED=82,,,,,,,,,,,,,
service_alerts,2,2026-07-24T19:13:56.375814+00:00,200,2266.0,application/x-protobuf,13093,,,"Fri, 24 Jul 2026 19:13:58 GMT",65f9d16576bf1e5503eaeeb8c364a9456a5a336603fd814e40da706b2b07e192,True,1784920437,True,-0.6,17,,,,,,,,,,39,0,,85,,,,,,,,,,,,,17,20,14,3,0,0,128,11,0,CONSTRUCTION=9;MAINTENANCE=1;OTHER_CAUSE=4;POLICE_ACTIVITY=2;TECHNICAL_PROBLEM=1,DETOUR=3;NO_EFFECT=1;NO_SERVICE=9;OTHER_EFFECT=4,WARNING=17,
trip_updates,4,2026-07-24T19:14:24.620460+00:00,200,1750.0,application/x-protobuf,447499,mecatran-valleymetro-gtfsrt-tripupdate-protobuf-binary-1784920457283,,"Fri, 24 Jul 2026 19:14:25 GMT",3b99c93b05c73f955b85ecb0b3dd658a3432d73949f43ac24e45f3fd18c8baf9,True,1784920457,True,7.6,618,618,618,7.6,7.6,618,618,618,0,10572,78,618,500,7205,10490,10490,10490,2667,718,7105,10490,2604,791,7095,CANCELED=1;SCHEDULED=617,SCHEDULED=10490;SKIPPED=82,,,,,,,,,,,,,
trip_updates,5,2026-07-24T19:14:54.617233+00:00,200,1687.0,application/x-protobuf,447541,mecatran-valleymetro-gtfsrt-tripupdate-protobuf-binary-1784920474131,,"Fri, 24 Jul 2026 19:14:55 GMT",04399f8de4f04f2a86f8d540e5b16558e50a5aa354696a8eb6a3166f2507f60f,True,1784920474,True,20.6,618,618,618,20.6,20.6,618,618,618,0,10571,78,618,500,7205,10489,10489,10489,2675,709,7105,10489,2612,782,7095,CANCELED=1;SCHEDULED=617,SCHEDULED=10489;SKIPPED=82,,,,,,,,,,,,,
service_alerts,3,2026-07-24T19:14:56.344633+00:00,200,1485.0,application/x-protobuf,13093,,,"Fri, 24 Jul 2026 19:14:57 GMT",51ee4fce27811e1ac8de316added2abb42e15ddff4abb1aa6e479cf05bd66ac1,True,1784920497,True,-0.7,17,,,,,,,,,,39,0,,85,,,,,,,,,,,,,17,20,14,3,0,0,128,11,0,CONSTRUCTION=9;MAINTENANCE=1;OTHER_CAUSE=4;POLICE_ACTIVITY=2;TECHNICAL_PROBLEM=1,DETOUR=3;NO_EFFECT=1;NO_SERVICE=9;OTHER_EFFECT=4,WARNING=17,
trip_updates,6,2026-07-24T19:15:24.616887+00:00,200,1734.0,application/x-protobuf,444650,mecatran-valleymetro-gtfsrt-tripupdate-protobuf-binary-1784920514250,,"Fri, 24 Jul 2026 19:15:25 GMT",90df8e0dfa5d761fceca56829a3a8359933f0139038689c532a836d95ed86f59,True,1784920514,True,10.6,621,621,621,10.6,10.6,621,621,621,0,10476,78,621,500,7175,10391,10391,10391,2670,716,7005,10391,2607,790,6994,CANCELED=1;SCHEDULED=620,SCHEDULED=10391;SKIPPED=85,,,,,,,,,,,,,
trip_updates,7,2026-07-24T19:15:54.619650+00:00,200,1859.0,application/x-protobuf,446466,mecatran-valleymetro-gtfsrt-tripupdate-protobuf-binary-1784920553560,,"Fri, 24 Jul 2026 19:15:55 GMT",6ff397acec73d48b6d2fb1dfd20a1f7136661a15961ea4ea52a8ec7a9491b296,True,1784920553,True,1.6,630,630,630,1.6,1.6,630,630,630,0,10527,78,630,499,7182,10437,10437,10437,2635,711,7091,10437,2573,784,7080,CANCELED=1;SCHEDULED=629,SCHEDULED=10437;SKIPPED=90,,,,,,,,,,,,,
service_alerts,4,2026-07-24T19:15:56.513688+00:00,200,1532.0,application/x-protobuf,13093,,,"Fri, 24 Jul 2026 19:15:57 GMT",fe5d183e8e5ed108841f422947115865b5764e35d73278ee0d0599667ad779db,True,1784920557,True,-0.5,17,,,,,,,,,,39,0,,85,,,,,,,,,,,,,17,20,14,3,0,0,128,11,0,CONSTRUCTION=9;MAINTENANCE=1;OTHER_CAUSE=4;POLICE_ACTIVITY=2;TECHNICAL_PROBLEM=1,DETOUR=3;NO_EFFECT=1;NO_SERVICE=9;OTHER_EFFECT=4,WARNING=17,
trip_updates,8,2026-07-24T19:16:24.619542+00:00,200,1750.0,application/x-protobuf,446909,mecatran-valleymetro-gtfsrt-tripupdate-protobuf-binary-1784920576949,,"Fri, 24 Jul 2026 19:16:25 GMT",47345a7f0760589506cac0d545c23bcf12aa9b775f1b98106873121c5d6ac4e3,True,1784920576,True,8.6,627,627,627,8.6,8.6,627,627,627,0,10595,78,627,499,7194,10505,10505,10505,2556,782,7167,10505,2499,850,7156,CANCELED=1;SCHEDULED=626,SCHEDULED=10505;SKIPPED=90,,,,,,,,,,,,,
