sample,request_utc,http_status,latency_ms,content_type,response_bytes,etag,payload_sha256,payload_changed,header_timestamp,header_changed,feed_age_seconds,entity_count,vehicle_timestamp_count,newest_vehicle_age_seconds,oldest_vehicle_age_seconds,vehicles_30s_or_newer,vehicles_60s_or_newer,vehicles_90s_or_newer,vehicles_over_300s,error
1,2026-07-24T17:23:58.663388+00:00,200,2328.0,application/x-protobuf,62381,mecatran-valleymetro-gtfsrt-vehiclepos-protobuf-binary-611123191-1784913833228,19b51fe7dc45664950173a7db5f6ea8e7c826db25a6377855e0339550b3e4809,False,1784913833,False,5.7,603,603,5.7,618.7,454,589,590,9,
2,2026-07-24T17:24:28.661296+00:00,200,1531.0,application/x-protobuf,62517,mecatran-valleymetro-gtfsrt-vehiclepos-protobuf-binary-901913944-1784913857618,399c06ca8f6eeb1e1008874afbad94ea9825bfed206b667b5e015729ec2ea7c0,True,1784913857,True,11.7,604,604,11.7,618.7,300,588,591,8,
3,2026-07-24T17:24:58.662588+00:00,200,1578.0,application/x-protobuf,62446,mecatran-valleymetro-gtfsrt-vehiclepos-protobuf-binary-1840326357-1784913898348,0b2d89bf3ec49c3165855956de8a991d76c99741a9253fda9cda1d5551743cec,True,1784913898,True,0.7,603,603,0.7,648.7,419,588,590,8,
4,2026-07-24T17:25:28.661410+00:00,200,1484.0,application/x-protobuf,62356,mecatran-valleymetro-gtfsrt-vehiclepos-protobuf-binary-1078662433-1784913913771,67afc3a287410260a082a28aac97758c47367947cc6fba4f48f9e5f47d76460f,True,1784913913,True,15.7,601,601,14.7,598.7,228,587,589,6,
5,2026-07-24T17:25:58.661175+00:00,200,1562.0,application/x-protobuf,62417,mecatran-valleymetro-gtfsrt-vehiclepos-protobuf-binary-252322378-1784913953269,066a970e41515d3a9c8f7bd915dbbfee06a9718757d37ffffe04af3f386596a3,True,1784913953,True,5.7,601,601,5.7,628.7,434,587,589,6,
6,2026-07-24T17:26:28.663979+00:00,200,1531.0,application/x-protobuf,62243,mecatran-valleymetro-gtfsrt-vehiclepos-protobuf-binary-95701221-1784913977199,9377cd2e476d335d35b20a767f094a3622f6edf39b66fd5dbcf8f724688f03ed,True,1784913977,True,11.7,599,599,11.7,615.7,275,584,587,5,
7,2026-07-24T17:26:58.666153+00:00,200,1515.0,application/x-protobuf,62207,mecatran-valleymetro-gtfsrt-vehiclepos-protobuf-binary-770700003-1784914017527,787b490c00556919ee69f5259a5d6f2a133772c9380c8ee2c24583e6f0fb041a,True,1784914017,True,1.7,599,599,1.7,645.7,461,583,586,7,
8,2026-07-24T17:27:28.672253+00:00,200,1594.0,application/x-protobuf,62168,mecatran-valleymetro-gtfsrt-vehiclepos-protobuf-binary-1040180358-1784914034011,5e90ee457f3491e1736e1cb1dff720a80e8503d8e9c164292d4385870df95efb,True,1784914034,True,14.7,598,598,14.7,609.7,336,582,585,6,
9,2026-07-24T17:27:58.687265+00:00,200,1516.0,application/x-protobuf,62165,mecatran-valleymetro-gtfsrt-vehiclepos-protobuf-binary-1891409034-1784914073257,4a10619a7833464d2e1109ab2432275fd4c812331f1347e8184f530505ae6183,True,1784914073,True,5.7,598,598,5.7,639.7,465,584,586,7,
10,2026-07-24T17:28:28.686244+00:00,200,1594.0,application/x-protobuf,61810,mecatran-valleymetro-gtfsrt-vehiclepos-protobuf-binary-913710093-1784914097339,6128b7192ae474752f03dc0045c47aacdaa73a3d09e25451e0429993cf552fda,True,1784914097,True,11.7,594,594,11.7,491.7,229,578,582,5,
11,2026-07-24T17:28:58.684984+00:00,200,1500.0,application/x-protobuf,61895,mecatran-valleymetro-gtfsrt-vehiclepos-protobuf-binary-1736976432-1784914137919,a0b4eae988b106b4b18cdbb6ffa9baeb7716523f0b36575f7b4fa4f480152d13,True,1784914137,True,1.7,595,595,0.7,521.7,464,583,584,7,
12,2026-07-24T17:29:28.689794+00:00,200,1531.0,application/x-protobuf,61797,mecatran-valleymetro-gtfsrt-vehiclepos-protobuf-binary-751636484-1784914153782,aa327b491e09f9abda3dbbb5e66ea259e9bd1cc05f7050aff9fcb9d298a1fd44,True,1784914153,True,15.7,594,594,14.7,551.7,236,582,583,7,
